time,signal
0,199800.0
10,200461.0
20,200358.0
30,201086.0
40,200991.0
50,200908.0
60,199855.0
70,199826.0
80,199669.0
90,199112.0
100,199801.0
110,202692.0
120,205991.0
130,205687.0
140,205452.0
150,204107.0
160,205784.0
170,203762.0
180,203274.0
190,203278.0
200,200829.0
210,199584.0
220,196977.0
230,196368.0
240,196945.0
250,194587.0
260,193195.0
270,192748.0
280,196909.0
290,201365.0
300,205121.0
310,209379.0
320,211159.0
330,210836.0
340,209132.0
350,207874.0
360,207543.0
370,204594.0
380,205065.0
390,206737.0
400,206835.0
410,205749.0
420,205314.0
430,204931.0
440,203094.0
450,201460.0
460,199137.0
470,198524.0
480,196105.0
490,193994.0
500,194500.0
510,195688.0
520,196017.0
530,196123.0
540,195285.0
550,194138.0
560,193611.0
570,191432.0
580,189298.0
590,188982.0
600,186121.0
610,185093.0
620,181864.0
630,181551.0
640,181510.0
650,183212.0
660,183975.0
670,184148.0
680,183168.0
690,181208.0
700,180221.0
710,179068.0
720,176977.0
730,175821.0
740,173392.0
750,171384.0
760,170450.0
770,166892.0
780,165403.0
790,166217.0
800,168415.0
810,172130.0
820,174140.0
830,176458.0
840,177497.0
850,175665.0
860,174043.0
870,172780.0
880,171393.0
890,169994.0
900,167719.0
910,166233.0
920,162558.0
930,162190.0
940,159470.0
950,157811.0
960,156068.0
970,152931.0
980,151056.0
990,150136.0
1000,150460.0
1010,148849.0
1020,147650.0
1030,146097.0
1040,143113.0
1050,142225.0
1060,140619.0
1070,138754.0
1080,134964.0
1090,133009.0
1100,131934.0
1110,129959.0
1120,128478.0
1130,127234.0
1140,125173.0
1150,123436.0
1160,120686.0
1170,119392.0
1180,117732.0
1190,116219.0
1200,119081.0
1210,124953.0
1220,130305.0
1230,133951.0
1240,136066.0
1250,138359.0
1260,137871.0
1270,139563.0
1280,139145.0
1290,136660.0
1300,136344.0
1310,135091.0
1320,133441.0
1330,131946.0
1340,131465.0
1350,129601.0
1360,128352.0
1370,126156.0
1380,124624.0
1390,123325.0
1400,122626.0
1410,119667.0
1420,118773.0
1430,115957.0
1440,113603.0
1450,112984.0
1460,110410.0
1470,110486.0
1480,109568.0
1490,111355.0
1500,110540.0
1510,110701.0
1520,110816.0
1530,110613.0
1540,108546.0
1550,108091.0
1560,107492.0
1570,106173.0
1580,105145.0
1590,103665.0
1600,102009.0
1610,100227.0
1620,98747.0
1630,98146.0
1640,95142.0
1650,94645.0
1660,93035.0
1670,91462.0
1680,90109.0
1690,89335.0
1700,88161.0
1710,86345.0
1720,85395.0
1730,84344.0
1740,83766.0
1750,82397.0
1760,81025.0
1770,79286.0
1780,78334.0
1790,76405.0
1800,76418.0
1810,75353.0
1820,74570.0
1830,74307.0
1840,75958.0
1850,79614.0
1860,81129.0
1870,83909.0
1880,85404.0
1890,85672.0
1900,85956.0
1910,85615.0
1920,85666.0
1930,84199.0
1940,83193.0
1950,82733.0
1960,81905.0
1970,81104.0
1980,79870.0
1990,78806.0
2000,77557.0
2010,77376.0
2020,76101.0
2030,75966.0
2040,74103.0
2050,73587.0
2060,73360.0
2070,72269.0
2080,71368.0
2090,69945.0
2100,68673.0
2110,68364.0
2120,67433.0
2130,66117.0
