time,signal
0,1650871.0
10,1659447.0
20,1665968.0
30,1674711.0
40,1686471.0
50,1692218.0
60,1699135.0
70,1706414.0
80,1714881.0
90,1717499.0
100,1727081.0
110,1733447.0
120,1737827.0
130,1743127.0
140,1748882.0
150,1755088.0
160,1757898.0
170,1761057.0
180,1765615.0
190,1771462.0
200,1780619.0
210,1780469.0
220,1783187.0
230,1781896.0
240,1782964.0
250,1786639.0
260,1788325.0
270,1795102.0
280,1795398.0
290,1789671.0
300,1794397.0
310,1794028.0
320,1799111.0
330,1793886.0
340,1799221.0
350,1794078.0
360,1789051.0
370,1791571.0
380,1788819.0
390,1779823.0
400,1778678.0
410,1776313.0
420,1770953.0
430,1767961.0
440,1765451.0
450,1756913.0
460,1754648.0
470,1755781.0
480,1752743.0
490,1750880.0
500,1750683.0
510,1749039.0
520,1742784.0
530,1734731.0
540,1733861.0
550,1730692.0
560,1727513.0
570,1721429.0
580,1719028.0
590,1713299.0
600,1705376.0
610,1697975.0
620,1699949.0
630,1693109.0
640,1690292.0
650,1682683.0
660,1673416.0
670,1675029.0
680,1666002.0
690,1658233.0
700,1658180.0
710,1651830.0
720,1640760.0
730,1636349.0
740,1633179.0
750,1629582.0
760,1619089.0
770,1612941.0
780,1606515.0
790,1600778.0
800,1594228.0
810,1588759.0
820,1581546.0
830,1572508.0
840,1571289.0
850,1573908.0
860,1557889.0
870,1551403.0
880,1545264.0
890,1541823.0
900,1535067.0
910,1523902.0
920,1516209.0
930,1506641.0
940,1492768.0
950,1488076.0
960,1482081.0
970,1472034.0
980,1460418.0
990,1459478.0
1000,1448165.0
1010,1437277.0
1020,1434245.0
1030,1421663.0
1040,1413065.0
1050,1405591.0
1060,1397220.0
1070,1386657.0
1080,1377736.0
1090,1369476.0
1100,1360742.0
1110,1355945.0
1120,1344290.0
1130,1335388.0
1140,1323885.0
1150,1319137.0
1160,1309024.0
1170,1298780.0
1180,1288407.0
1190,1277358.0
1200,1268798.0
1210,1257007.0
1220,1247316.0
1230,1240769.0
1240,1229090.0
1250,1219698.0
1260,1204341.0
1270,1201231.0
1280,1192571.0
1290,1187258.0
1300,1184346.0
1310,1174314.0
1320,1169978.0
1330,1164047.0
1340,1154529.0
1350,1148400.0
1360,1138938.0
1370,1130183.0
1380,1129836.0
1390,1118918.0
1400,1111929.0
1410,1108482.0
1420,1095046.0
1430,1084809.0
1440,1080202.0
1450,1070290.0
1460,1065353.0
1470,1060765.0
1480,1059302.0
1490,1052633.0
1500,1051071.0
1510,1047506.0
1520,1038681.0
1530,1036312.0
1540,1033658.0
1550,1025392.0
1560,1021016.0
1570,1015902.0
1580,1009817.0
1590,1001883.0
1600,993385.0
1610,983973.0
1620,973967.0
1630,965962.0
1640,959444.0
1650,953337.0
1660,943938.0
1670,937460.0
1680,933159.0
1690,923394.0
1700,917790.0
1710,912242.0
1720,904731.0
1730,898862.0
1740,889392.0
1750,886536.0
1760,877622.0
1770,873652.0
1780,865086.0
1790,854305.0
1800,846779.0
1810,843802.0
1820,836882.0
1830,827184.0
1840,825074.0
1850,818617.0
1860,816797.0
1870,807104.0
1880,803992.0
1890,797450.0
1900,787280.0
1910,782825.0
1920,777448.0
1930,768188.0
1940,766088.0
1950,760026.0
1960,754084.0
1970,751990.0
1980,741117.0
1990,738212.0
2000,735919.0
2010,728182.0
2020,723093.0
2030,720211.0
2040,712345.0
2050,705142.0
2060,704615.0
2070,702619.0
2080,697931.0
2090,696944.0
2100,688198.0
2110,684412.0
2120,677434.0
2130,671920.0
2140,666255.0
2150,658952.0
2160,653973.0
2170,651352.0
2180,644930.0
2190,641942.0
2200,635137.0
2210,629928.0
2220,625165.0
2230,619546.0
2240,615546.0
2250,609376.0
2260,601778.0
2270,599197.0
2280,594680.0
2290,587798.0
2300,579061.0
2310,575923.0
2320,574239.0
2330,572993.0
2340,569743.0
2350,566578.0
2360,564428.0
2370,558191.0
2380,555558.0
2390,548655.0
2400,545557.0
2410,541082.0
2420,537519.0
2430,535299.0
2440,530219.0
2450,523383.0
2460,517827.0
2470,513661.0
2480,507323.0
2490,501668.0
2500,497832.0
2510,493869.0
2520,487823.0
2530,484342.0
2540,479313.0
2550,474504.0
2560,471579.0
2570,465484.0
2580,460476.0
2590,456221.0
2600,452388.0
2610,452067.0
2620,446610.0
2630,442970.0
2640,440811.0
2650,437542.0
2660,436644.0
2670,435057.0
2680,431054.0
2690,429548.0
2700,423985.0
2710,423614.0
2720,419882.0
2730,417259.0
2740,413786.0
2750,410455.0
2760,409445.0
2770,409087.0
2780,408161.0
2790,406440.0
2800,403805.0
2810,399946.0
2820,398221.0
2830,396153.0
2840,392977.0
2850,388334.0
2860,384785.0
2870,381084.0
2880,378424.0
2890,377898.0
2900,377910.0
2910,375455.0
2920,373087.0
2930,369348.0
2940,366084.0
2950,365247.0
2960,360232.0
2970,358720.0
2980,355956.0
2990,352872.0
3000,348761.0
3010,345321.0
3020,338313.0
3030,333375.0
3040,332541.0
3050,331470.0
3060,331489.0
3070,330143.0
3080,327717.0
3090,323187.0
3100,324504.0
3110,321995.0
3120,319530.0
3130,317747.0
3140,317363.0
3150,314338.0
3160,309435.0
3170,310237.0
3180,307748.0
3190,303828.0
3200,303371.0
3210,299971.0
3220,298652.0
3230,297794.0
3240,294100.0
3250,293041.0
3260,289831.0
3270,290072.0
3280,289148.0
3290,289586.0
3300,290103.0
3310,288054.0
3320,286099.0
3330,285059.0
3340,282880.0
3350,283665.0
3360,282145.0
3370,279558.0
3380,276700.0
3390,276490.0
3400,274545.0
3410,271624.0
3420,270311.0
3430,266345.0
3440,265902.0
3450,263453.0
3460,259841.0
3470,257900.0
3480,255728.0
3490,255245.0
3500,255832.0
3510,254176.0
3520,254126.0
3530,252888.0
3540,252023.0
3550,250957.0
3560,249755.0
3570,245548.0
3580,247600.0
3590,244079.0
3600,242682.0
3610,240768.0
3620,239102.0
3630,237508.0
3640,233173.0
3650,232996.0
3660,230547.0
3670,229614.0
3680,227771.0
3690,224768.0
3700,224613.0
3710,222085.0
3720,219586.0
3730,217985.0
3740,216097.0
3750,216477.0
3760,214207.0
3770,212341.0
3780,209932.0
3790,207704.0
3800,206775.0
3810,205273.0
3820,204479.0
3830,203059.0
3840,201337.0
3850,199356.0
3860,198485.0
3870,195246.0
3880,193503.0
3890,192710.0
3900,190372.0
3910,189303.0
3920,187849.0
3930,185720.0
3940,184359.0
3950,183192.0
3960,180714.0
3970,181344.0
3980,179394.0
3990,177985.0
4000,177605.0
4010,174847.0
4020,174595.0
4030,173914.0
4040,172250.0
4050,170508.0
4060,170491.0
4070,167282.0
4080,165704.0
4090,165608.0
4100,163760.0
4110,161982.0
4120,161856.0
4130,159588.0
4140,157848.0
4150,156005.0
4160,154896.0
4170,154339.0
4180,152928.0
4190,151715.0
4200,149685.0
4210,148421.0
4220,149706.0
4230,152480.0
4240,151745.0
4250,151956.0
4260,150672.0
4270,152288.0
4280,152131.0
4290,150712.0
4300,150055.0
4310,148198.0
4320,148012.0
4330,146894.0
4340,145957.0
4350,145463.0
4360,144373.0
4370,143430.0
4380,142392.0
4390,141586.0
4400,141096.0
4410,140302.0
4420,139706.0
4430,139102.0
4440,137562.0
4450,137272.0
4460,134968.0
4470,135228.0
4480,134290.0
4490,134620.0
4500,136072.0
4510,138546.0
4520,138040.0
4530,139182.0
4540,139445.0
4550,139138.0
4560,138274.0
4570,138142.0
4580,137623.0
4590,135588.0
4600,136384.0
4610,134461.0
4620,133828.0
4630,131885.0
4640,132037.0
4650,132177.0
4660,130573.0
4670,129800.0
4680,129949.0
4690,128597.0
4700,127703.0
4710,127621.0
4720,126592.0
4730,126190.0
4740,123985.0
4750,123507.0
4760,122815.0
4770,122248.0
4780,120835.0
4790,120691.0
4800,118908.0
4810,118920.0
4820,117310.0
4830,116382.0
4840,116551.0
4850,116401.0
4860,115067.0
4870,114260.0
4880,113409.0
4890,111974.0
4900,110986.0
4910,110293.0
4920,110368.0
4930,108794.0
4940,107729.0
4950,107167.0
4960,106761.0
4970,106218.0
4980,107005.0
4990,105049.0
5000,104481.0
5010,104006.0
5020,103627.0
5030,102387.0
5040,101244.0
5050,101883.0
5060,99395.0
5070,99131.0
5080,98806.0
5090,99128.0
5100,97037.0
5110,95926.0
5120,96643.0
5130,96347.0
5140,95072.0
5150,94718.0
5160,94771.0
5170,92927.0
5180,92152.0
5190,91766.0
5200,91993.0
5210,90679.0
5220,90959.0
5230,89454.0
5240,89815.0
5250,88602.0
5260,88049.0
5270,87046.0
5280,86019.0
5290,85821.0
5300,86496.0
5310,85449.0
5320,84361.0
5330,84362.0
5340,84387.0
5350,82784.0
5360,81835.0
5370,81446.0
5380,82147.0
5390,81348.0
5400,80507.0
5410,80719.0
5420,79372.0
5430,78721.0
5440,79298.0
5450,78004.0
5460,77440.0
5470,76902.0
5480,76709.0
5490,75375.0
5500,74985.0
5510,74547.0
5520,74262.0
5530,73751.0
5540,73158.0
5550,73011.0
5560,72350.0
5570,72576.0
5580,71182.0
5590,71061.0
5600,70858.0
5610,71562.0
5620,69581.0
5630,69743.0
5640,69186.0
5650,68958.0
5660,70313.0
5670,69704.0
5680,70497.0
5690,71415.0
5700,71171.0
5710,71471.0
5720,71158.0
5730,71310.0
5740,71131.0
5750,70338.0
5760,70168.0
5770,69754.0
5780,69578.0
5790,68940.0
5800,68468.0
5810,68460.0
5820,68868.0
5830,67369.0
5840,66686.0
5850,66121.0
5860,66381.0
5870,66021.0
5880,66161.0
5890,66037.0
5900,66472.0
5910,65429.0
5920,64958.0
5930,64468.0
5940,63786.0
5950,63942.0
5960,63099.0
5970,63570.0
5980,63317.0
5990,62201.0
6000,62504.0
6010,62424.0
6020,61791.0
6030,61061.0
6040,60507.0
6050,60018.0
6060,60276.0
6070,59806.0
6080,58825.0
6090,58654.0
6100,57607.0
6110,58347.0
6120,57351.0
6130,57091.0
6140,56272.0
6150,57279.0
6160,56170.0
6170,55637.0
6180,55369.0
6190,55421.0
6200,55062.0
6210,54924.0
6220,54698.0
6230,54241.0
6240,53796.0
6250,54144.0
6260,53648.0
6270,52614.0
6280,53415.0
6290,52957.0
6300,52806.0
6310,52719.0
6320,52079.0
6330,51889.0
6340,52266.0
6350,51574.0
6360,50603.0
6370,51144.0
6380,50076.0
6390,49795.0
6400,49906.0
6410,50141.0
6420,49911.0
6430,48548.0
6440,49068.0
6450,48680.0
6460,48570.0
6470,47816.0
6480,48126.0
6490,47933.0
6500,47279.0
6510,46297.0
6520,46955.0
6530,47045.0
6540,46346.0
6550,45747.0
6560,45413.0
6570,45945.0
6580,45649.0
6590,45344.0
6600,45145.0
6610,45156.0
6620,43849.0
6630,44671.0
6640,43756.0
6650,43587.0
6660,43113.0
6670,42848.0
6680,42146.0
6690,42115.0
6700,42164.0
6710,41686.0
6720,41377.0
6730,42068.0
6740,40705.0
6750,40102.0
6760,39738.0
6770,40711.0
6780,40218.0
6790,39857.0
6800,39218.0
6810,38825.0
6820,38766.0
6830,38456.0
6840,38151.0
6850,38019.0
6860,37966.0
6870,36511.0
6880,36485.0
6890,35718.0
6900,35343.0
6910,36507.0
6920,36921.0
6930,38248.0
6940,38997.0
6950,39662.0
6960,39260.0
6970,39501.0
6980,38991.0
6990,39428.0
7000,39325.0
7010,38871.0
7020,38947.0
7030,38943.0
7040,38528.0
7050,38965.0
7060,38639.0
7070,38551.0
7080,38444.0
7090,38215.0
7100,38066.0
7110,37763.0
7120,37148.0
7130,37239.0
7140,37527.0
7150,37089.0
7160,36704.0
7170,36972.0
7180,36488.0
7190,36518.0
7200,35483.0
7210,36052.0
7220,35707.0
7230,35541.0
7240,35352.0
7250,35075.0
7260,34919.0
7270,35254.0
7280,34701.0
7290,35092.0
7300,34276.0
7310,34028.0
7320,34468.0
7330,34295.0
7340,33877.0
7350,33335.0
7360,33397.0
7370,33558.0
7380,32946.0
7390,32675.0
7400,32657.0
7410,32493.0
7420,32767.0
7430,32102.0
7440,32099.0
7450,32643.0
7460,32331.0
7470,31700.0
7480,31434.0
7490,31332.0
7500,31179.0
7510,30823.0
7520,30750.0
7530,30540.0
7540,30391.0
7550,30500.0
7560,30365.0
7570,30354.0
7580,29720.0
7590,30109.0
7600,29382.0
7610,29683.0
7620,29685.0
7630,29491.0
7640,29070.0
7650,29185.0
7660,28494.0
7670,28767.0
7680,28611.0
7690,28492.0
7700,28114.0
7710,28252.0
7720,27914.0
7730,28348.0
7740,27491.0
7750,27468.0
7760,27148.0
7770,27011.0
7780,27003.0
7790,26180.0
7800,27002.0
7810,26389.0
7820,26555.0
7830,26747.0
7840,26262.0
7850,26739.0
7860,25876.0
7870,26440.0
7880,26034.0
7890,26110.0
7900,25673.0
7910,25624.0
7920,25744.0
7930,25749.0
7940,24989.0
7950,25226.0
7960,25167.0
7970,25196.0
7980,24386.0
7990,24681.0
8000,24211.0
8010,24261.0
8020,23829.0
8030,24286.0
8040,23851.0
8050,23621.0
8060,23851.0
8070,23719.0
8080,23295.0
8090,23837.0
8100,23430.0
8110,23359.0
8120,23124.0
8130,22899.0
8140,22930.0
8150,22827.0
8160,22746.0
8170,22169.0
8180,22301.0
8190,21877.0
8200,21611.0
8210,21928.0
8220,21915.0
8230,21483.0
8240,21512.0
8250,21331.0
8260,21115.0
8270,20894.0
8280,20707.0
8290,20206.0
8300,19494.0
8310,18052.0
8320,16705.0
8330,16753.0
8340,18228.0
8350,18665.0
8360,19285.0
8370,20355.0
8380,20713.0
8390,21243.0
8400,21308.0
8410,22417.0
8420,22096.0
8430,22150.0
8440,22203.0
8450,21856.0
8460,21737.0
8470,21598.0
8480,21988.0
8490,21253.0
8500,21213.0
8510,20707.0
8520,20771.0
8530,20775.0
8540,20747.0
8550,20614.0
8560,20409.0
8570,20505.0
8580,20175.0
8590,20784.0
8600,20402.0
8610,20569.0
8620,19721.0
8630,20149.0
8640,19939.0
8650,20055.0
8660,19776.0
8670,19414.0
8680,19784.0
8690,19453.0
8700,19643.0
8710,19576.0
8720,18887.0
8730,19036.0
8740,19163.0
8750,19096.0
8760,18959.0
8770,19031.0
8780,19169.0
8790,18518.0
8800,18563.0
8810,18474.0
8820,18315.0
8830,18330.0
8840,18350.0
8850,17999.0
8860,18448.0
8870,18061.0
8880,18357.0
8890,17696.0
8900,18075.0
8910,17549.0
8920,17486.0
8930,17859.0
8940,17734.0
8950,18242.0
8960,18832.0
8970,19119.0
8980,19251.0
8990,19059.0
9000,18893.0
9010,19282.0
9020,19135.0
9030,19356.0
9040,19059.0
9050,19042.0
9060,19155.0
9070,18704.0
9080,19170.0
9090,18955.0
9100,19066.0
9110,18501.0
9120,18660.0
9130,18712.0
9140,18093.0
9150,18167.0
9160,18195.0
9170,18228.0
9180,17905.0
9190,17911.0
9200,18273.0
9210,17757.0
9220,18105.0
9230,18165.0
9240,18144.0
9250,17855.0
9260,17981.0
9270,17519.0
9280,17616.0
9290,17390.0
9300,17507.0
9310,17237.0
9320,17178.0
9330,16985.0
9340,17497.0
9350,17248.0
9360,17144.0
9370,16587.0
9380,16467.0
9390,16884.0
9400,16800.0
9410,17102.0
9420,16585.0
9430,16635.0
9440,16372.0
9450,16619.0
